,;gram;pu;P;1
dzarm;nom;;CCVCC;52863
ethos;nom;;VCCVC;52984
feder;ver;;CVCVC;53028
first;nom;;CVCCC;53046
frisa;nom;;CCVCV;53078
ganga;nom;;CVCCV;53094
gesta;nom;;CVCCV;53105
graal;nom;;CCVVC;53118
ipsis;nom;;VCCVC;53259
irada;adj;;VCVCV;53260
lábia;nom;;CVCVV;53283
laquê;nom;;CVCVV;53290
lider;nom;;CVCVC;53308
limpa;nom;;CVCCV;53313
lusos;adj;;CVCVC;53321
magna;adj;;CVCCV;53330
mamma;nom;;CVCCV;53336
manca;adj;;CVCCV;53339
min55;nom;;CVCNN;53399
mocho;adj;;CVCCV;53407
multi;gram;ec;CVCCV;53432
neves;nom;;CVCVC;53458
ocara;nom;;VCVCV;53483
pajem;nom;;CVCVC;53519
pequi;nom;;CVCVV;53570
persa;nom;;CVCCV;53587
pólis;nom;;CVCVC;53626
probo;adj;;CCVCV;53669
punch;nom;;CVCCC;53704
rotor;nom;;CVCVC;53845
rugby;nom;;CVCCV;53847
sabre;nom;;CVCCV;53850
salsa;adj;;CVCCV;53857
saquê;nom;;CVCVV;53868
selim;nom;;CVCVC;53887
sírio;nom;;CVCVV;53917
skiff;nom;;CCVCC;53920
talho;nom;;CVCCV;53997
vagem;nom;;CVCVC;54115
vária;adj;;CVCVV;54119
young;nom;;VVVCC;54162
yuans;nom;;VVVCC;54163
zapar;ver;;CVCVC;54165
actio;nom;;VCCVV;54466
alien;nom;;VCVVC;54522
angus;nom;;VCCVC;54570
arder;ver;;VCCVC;54609
asnos;nom;;VCCVC;54639
assaz;adv;;VCCVC;54644
atada;nom;;VCVCV;54656
azeda;adj;;VCVCV;54695
beach;nom;;CVVCC;54711
borra;nom;;CVCCV;54733
brabo;adj;;CCVCV;54737
bucha;nom;;CVCCV;54749
carpa;nom;;CVCCV;54794
cepas;nom;;CVCVC;54820
chico;nom;;CCVCV;54836
cinco;gram;prp;CVCCV;54849
códon;nom;;CVCVC;54874
comme;nom;;CVCCV;54893
crowd;nom;;CCVCC;55022
darks;nom;;CVCCC;55045
dixie;nom;;CVCVV;55224
draga;nom;;CCVCV;55237
faire;nom;;CVVCV;55439
falir;ver;;CVCVC;55442
fiúza;nom;;CVVCV;55483
friso;nom;;CCVCV;55514
girls;nom;;CVCCC;55554
gnomo;nom;;CCVCV;55557
golas;nom;;CVCVC;55560
indie;adj;;VCCVV;55649
latin;nom;;CVCVC;55754
légua;nom;;CVCVV;55758
lesar;ver;;CVCVC;55768
lidas;adj;;CVCVC;55775
magos;adj;;CVCVC;55796
meada;nom;;CVVCV;55833
mecha;nom;;CVCCV;55835
michê;nom;;CVCCV;55862
miúdo;nom;;CVVCV;55879
mixed;nom;;CVCVC;55880
moças;adj;;CVCVC;55884
motes;nom;;CVCVC;55905
óbice;nom;;VCVCV;55966
ornar;ver;;VCCVC;55997
ouros;nom;;VVCVC;56004
patch;nom;;CVCCC;56027
patês;nom;;CVCVC;56028
pimba;adj;;CVCCV;56075
poção;nom;;CVCVV;56092
púbis;nom;;CVCVC;56187
ramas;nom;;CVCVC;56223
rasta;adj;;CVCCV;56227
ratos;adj;;CVCVC;56229
régia;adj;;CVCVV;56279
retro;adv;;CVCCV;56332
rombo;adj;;CVCCV;56356
rósea;adj;;CVCVV;56362
rumar;ver;;CVCVC;56367
sagaz;adj;;CVCVC;56370
sarna;nom;;CVCCV;56388
smart;nom;;CCVCC;56437
srta.;nom;;CCCVP;56462
stops;nom;;CCVCC;56463
tetas;nom;;CVCVC;56535
teuto;adj;;CVVCV;56538
their;ver;;CCVVC;56539
tique;nom;;CVCVV;56550
toldo;nom;;CVCCV;56555
tonel;nom;;CVCVC;56558
torra;nom;;CVCCV;56563
torto;adv;;CVCCV;56565
tufos;nom;;CVCVC;56616
turva;adj;;CVCCV;56620
unção;nom;;VCCVV;56626
urucu;nom;;VCVCV;56629
vasco;adj;;CVCCV;56643
zorra;nom;;CVCCV;56692
áster;nom;;VCCVC;57218
à-toa;adj;;V-CVV;57226
blanc;nom;;CCVCC;57305
blend;nom;;CCVCC;57306
braça;nom;;CCVCV;57318
brega;nom;;CCVCV;57324
brevê;nom;;CCVCV;57325
cacto;nom;;CVCCV;57343
cagar;ver;;CVCVC;57348
calha;nom;;CVCCV;57357
calos;nom;;CVCVC;57360
canas;nom;;CVCVC;57367
cegar;ver;;CVCVC;57413
ceras;nom;;CVCVC;57419
chata;nom;;CCVCV;57435
ciosa;adj;;CVVCV;57449
cisto;nom;;CVCCV;57452
comme;adv;;CVCCV;57489
corso;nom;;CVCCV;57602
coxia;nom;;CVCVV;57613
cujus;nom;;CVCVC;57635
curda;adj;;CVCCV;57644
curdo;adj;;CVCCV;57645
devir;ver;;CVCVC;57797
dobre;nom;;CVCCV;57840
enter;nom;;VCCVC;57945
estio;nom;;VCCVV;58007
faina;nom;;CVVCV;58071
fauno;nom;;CVVCV;58084
feras;adj;;CVCVC;58095
foder;ver;;CVCVC;58132
frege;nom;;CCVCV;58152
funky;adj;;CVCCV;58167
gemer;ver;;CVCVC;58192
grain;nom;;CCVVC;58216
hypes;nom;;CVCVC;58264
impar;ver;;VCCVC;58285
jongo;nom;;CVCCV;58410
jumas;adj;;CVCVC;58418
latas;adj;;CVCVC;58440
lemes;nom;;CVCVC;58453
lince;nom;;CVCCV;58470
mater;adj;;CVCVC;58531
melar;ver;;CVCVC;58542
mento;nom;;CVCCV;58550
moços;adj;;CVCVC;58584
múons;nom;;CVVCC;58615
neném;nom;;CVCVC;58636
novel;adj;;CVCVC;58655
novos;nom;;CVCVC;58657
nuevo;adj;;CVVCV;58659
ônias;nom;;VCVVC;58684
ônica;adj;;VCVCV;58685
órfãs;adj;;VCCVC;58700
paetê;nom;;CVVCV;58715
papar;ver;;CVCVC;58736
paris;nom;;CVCVC;58745
pasmo;adj;;CVCCV;58751
perro;adj;;CVCCV;58803
pietá;nom;;CVVCV;58821
pires;adj;;CVCVC;58834
pisco;nom;;CVCCV;58835
pólio;nom;;CVCVV;58853
posta;adj;;CVCCV;58871
posto;adj;;CVCCV;58873
prior;nom;;CCVVC;58922
reses;nom;;CVCVC;59111
ricos;nom;;CVCVC;59147
sedãs;nom;;CVCVC;59210
senda;nom;;CVCCV;59221
serro;nom;;CVCCV;59232
slots;nom;;CCVCC;59255
sonso;adj;;CVCCV;59275
speed;nom;;CCVVC;59284
study;nom;;CCVCV;59286
suada;adj;;CVVCV;59288
suíno;adj;;CVVCV;59319
taiga;nom;;CVVCV;59350
talos;nom;;CVCVC;59352
temps;nom;;CVCCC;59374
thing;nom;;CCVCC;59393
think;nom;;CCVCC;59394
tiene;nom;;CVVCV;59398
timer;nom;;CVCVC;59403
titia;nom;;CVCVV;59409
tolos;adj;;CVCVC;59411
vivaz;adj;;CVCVC;59553
which;nom;;CCVCC;59564
zanga;nom;;CVCCV;59569
zorro;adj;;CVCCV;59575
poca;nom;;PCVCV;59581
actor;nom;;VCCVC;59966
afegã;adj;;VCVCV;59992
afiar;ver;;VCVVC;59994
afros;adj;;VCCVC;59997
alado;adj;;VCVCV;60022
audio;gram;ec;VVCVV;60224
avelã;nom;;VCVCV;60242
aviar;ver;;VCVVC;60248
bantu;adj;;CVCCV;60266
banzo;nom;;CVCCV;60268
beiju;nom;;CVVCV;60278
bisca;nom;;CVCCV;60303
bobas;adj;;CVCVC;60312
bolor;nom;;CVCVC;60318
cação;nom;;CVCVV;60345
chulé;nom;;CCVCV;60458
cisco;nom;;CVCCV;60473
cromo;nom;;CCVCV;60670
curia;nom;;CVCVV;60684
dágua;adj;;CVCVV;60691
dello;adj;;CVCCV;60730
deprê;adj;;CVCCV;60742
derby;nom;;CVCCV;60747
ecoar;ver;;VCVVC;60945
fraga;nom;;CCVCV;61275
gabar;ver;;CVCVC;61302
gamão;nom;;CVCVV;61305
gomes;nom;;CVCVC;61341
gomos;nom;;CVCVC;61342
grota;nom;;CCVCV;61365
haute;nom;;CVVCV;61375
heart;nom;;CVVCC;61376
honor;nom;;CVCVC;61396
ígneo;adj;;VCCVV;61418
infra;gram;ec;VCCCV;61505
juiza;nom;;CVVCV;61584
latir;ver;;CVCVC;61599
leads;nom;;CVVCC;61604
locar;ver;;CVCVC;61642
lower;nom;;CVCVC;61651
lurex;nom;;CVCVC;61653
malar;nom;;CVCVC;61677
malho;nom;;CVCCV;61682
manos;nom;;CVCVC;61692
mudos;nom;;CVCVC;61807
murta;nom;;CVCCV;61817
muzak;nom;;CVCVC;61820
nerds;nom;;CVCCC;61846
never;ver;;CVCVC;61847
nívea;adj;;CVCVV;61853
noras;nom;;CVCVC;61855
novit;nom;;CVCVC;61861
oitos;nom;;VVCVC;61887
otros;adj;;VCCVC;61911
palas;nom;;CVCVC;61924
panda;nom;;CVCCV;61931
pasma;adj;;CVCCV;61954
peras;nom;;CVCVC;61997
podar;ver;;CVCVC;62051
polia;nom;;CVCVV;62055
power;ver;;CVCVC;62089
ralis;nom;;CVCVC;62218
retos;nom;;CVCVC;62366
rimar;ver;;CVCVC;62386
rotas;adj;;CVCVC;62398
senil;adj;;CVCVC;62446
shape;nom;;CCVCV;62467
shear;adj;;CCVVC;62468
siglo;nom;;CVCCV;62471
sopão;nom;;CVCVV;62519
split;nom;;CCCVC;62527
tabla;nom;;CVCCV;62588
talha;nom;;CVCCV;62599
tâmil;adj;;CVCVC;62602
three;nom;;CCCVV;62638
timbó;nom;;CVCCV;62647
trade;nom;;CCVCV;62678
tupis;adj;;CVCVC;62735
tweed;nom;;CCVVC;62741
vamos;nom;;CVCVC;62771
vedas;nom;;CVCVC;62778
viris;adj;;CVCVC;62819
wapté;nom;;CVCCV;62841
woman;nom;;CVCVC;62844
xhosa;nom;;CCVCV;62850
alada;adj;;VCVCV;63486
aléia;nom;;VCVVV;63496
almaq;nom;;VCCVC;63509
amora;nom;;VCVCV;63532
ancas;nom;;VCCVC;63540
ânion;nom;;VCVVC;63550
babas;nom;;CVCVC;63744
bagre;nom;;CVCCV;63751
banjo;nom;;CVCCV;63759
bemol;nom;;CVCVC;63788
betas;nom;;CVCVC;63795
bobão;adj;;CVCVV;63817
boiar;ver;;CVVVC;63824
bolar;ver;;CVCVC;63825
butim;nom;;CVCVC;63857
calão;nom;;CVCVV;63874
calvo;nom;;CVCCV;63884
carry;nom;;CVCCV;63930
certa;nom;;CVCCV;63966
chulo;adj;;CCVCV;63986
click;nom;;CCVCC;64012
coast;nom;;CVVCC;64015
cocar;ver;;CVCVC;64018
color;nom;;CVCVC;64038
comas;nom;;CVCVC;64043
corça;nom;;CVCCV;64178
corps;nom;;CVCCC;64183
crina;nom;;CCVCV;64221
cúria;nom;;CVCVV;64254
cutia;nom;;CVCVV;64268
dardo;nom;;CVCCV;64274
doído;adj;;CVVCV;64535
dreno;nom;;CCVCV;64545
early;nom;;VVCCV;64553
ermos;nom;;VCCVC;64703
erres;nom;;VCCVC;64705
femme;nom;;CVCCV;64856
focal;adj;;CVCVC;64900
fofas;nom;;CVCVC;64901
fofos;nom;;CVCVC;64902
forro;adj;;CVCCV;64912
fosca;adj;;CVCCV;64914
fôsso;nom;;CVCCV;64915
galão;nom;;CVCVV;64955
hirto;adj;;CVCCV;65041
júris;nom;;CVCVC;65291
khmer;nom;;CCCVC;65300
ladra;nom;;CVCCV;65311
laico;adj;;CVVCV;65312
legar;ver;;CVCVC;65330
machê;adj;;CVCCV;65400
min27;nom;;CVCNN;65514
mofar;ver;;CVCVC;65539
mouro;adj;;CVVCV;65575
nacos;nom;;CVCVC;65606
never;nom;;CVCVC;65631
noche;nom;;CVCCV;65641
nódoa;nom;;CVCVV;65642
óbolo;nom;;VCVCV;65658
pajés;nom;;CVCVC;65735
pálio;nom;;CVCVV;65741
pança;nom;;CVCCV;65744
panda;adj;;CVCCV;65745
pêras;nom;;CVCVC;65807
piche;nom;;CVCCV;65843
pinel;nom;;CVCVC;65849
podas;nom;;CVCVC;65879
polos;nom;;CVCVC;65896
press;nom;;CCVCC;65961
puede;nom;;CVVCV;66038
queer;adj;;CVVVC;66059
quick;nom;;CVVCC;66067
relho;nom;;CVCCV;66190
rifar;ver;;CVCVC;66285
rítmo;nom;;CVCCV;66288
rixas;nom;;CVCVC;66289
royal;adj;;CVVVC;66307
rusga;nom;;CVCCV;66315
sames;nom;;CVCVC;66332
septo;nom;;CVCCV;66378
siris;nom;;CVCVC;66401
steel;nom;;CCVVC;66452
teima;nom;;CVVCV;66550
tieta;nom;;CVVCV;66577
trajo;nom;;CCVCV;66620
turra;nom;;CVCCV;66683
uivos;nom;;VVCVC;66687
vilãs;nom;;CVCVC;66738
vinco;nom;;CVCCV;66739
vitae;nom;;CVCVV;66753
vovós;nom;;CVCVC;66767
xxxxx;nom;;CCCCC;66779
afago;nom;;VCVCV;67494
agogô;nom;;VCVCV;67518
ahora;nom;;VCVCV;67527
almas;adj;;VCCVC;67557
apear;ver;;VCVVC;67646
après;nom;;VCCVC;67670
arias;nom;;VCVVC;67697
arte-;nom;;VCCV-;67725
átimo;nom;;VCVCV;67776
axila;nom;;VCVCV;67832
babão;nom;;CVCVV;67834
bilha;nom;;CVCCV;67907
bisão;nom;;CVCVV;67913
bitch;nom;;CVCCC;67918
bongô;nom;;CVCCV;67943
bonus;nom;;CVCVC;67945
bulas;nom;;CVCVC;67973
burgo;nom;;CVCCV;67977
caída;adj;;CVVCV;68009
cálix;nom;;CVCVC;68026
calva;adj;;CVCCV;68028
caqui;adj;;CVCVV;68065
carga;adj;;CVCCV;68072
chabu;nom;;CCVCV;68129
checo;nom;;CCVCV;68142
coach;nom;;CVVCC;68182
cobro;nom;;CVCCV;68185
coser;ver;;CVCVC;68436
cozer;ver;;CVCVC;68447
crazy;nom;;CCVCV;68451
cruzi;nom;;CCVCV;68467
cuias;nom;;CVVVC;68469
curie;nom;;CVCVV;68490
dobre;adj;;CVCCV;68794
dolce;adj;;CVCCV;68803
êmulo;nom;;VCVCV;68888
falos;nom;;CVCVC;69213
farpa;nom;;CVCCV;69223
focus;nom;;CVCVC;69289
fomes;nom;;CVCVC;69294
fruit;nom;;CCVVC;69341
fumus;nom;;CVCVC;69350
gabro;nom;;CVCCV;69371
ganzá;nom;;CVCCV;69384
glote;nom;;CCVCV;69419
goals;nom;;CVVCC;69421
grude;nom;;CCVCV;69451
hidra;nom;;CVCCV;69489
hindi;nom;;CVCCV;69496
hours;nom;;CVVCC;69524
igara;nom;;VCVCV;69536
incas;adj;;VCCVC;69578
irish;adj;;VCVCC;69722
jarro;nom;;CVCCV;69743
jogão;nom;;CVCVV;69751
joule;nom;;CVVCV;69757
jupiá;nom;;CVCVV;69765
lasca;nom;;CVCCV;69792
lculo;adj;;CCVCV;69801
least;nom;;CVVCC;69803
lilás;nom;;CVCVC;69831
lula-;nom;;CVCV-;69877
lunch;nom;;CVCCC;69878
lúpus;nom;;CVCVC;69879
luzir;ver;;CVCVC;69885
maker;nom;;CVCVC;69906
mamar;ver;;CVCVC;69913
medio;adj;;CVCVV;69963
meião;nom;;CVVVV;69969
mudez;nom;;CVCVC;70069
musgo;nom;;CVCCV;70082
nesga;nom;;CVCCV;70113
nevar;ver;;CVCVC;70118
numas;gram;prp+det;CVCVC;70142
olhar;gram;in;VCCVC;70179
ônico;adj;;VCVCV;70186
orlas;nom;;VCCVC;70211
other;nom;;VCCVC;70220
otros;nom;;VCCVC;70222
paços;nom;;CVCVC;70231
pardo;nom;;CVCCV;70258
pária;nom;;CVCVV;70262
parra;nom;;CVCCV;70265
party;nom;;CVCCV;70268
peias;nom;;CVVVC;70298
perro;nom;;CVCCV;70348
phone;nom;;CCVCV;70362
pisão;nom;;CVCVV;70391
place;nom;;CCVCV;70397
posta;nom;;CVCCV;70447
privê;nom;;CCVCV;70524
quien;nom;;CVVVC;70622
razón;nom;;CVCVC;70651
récit;nom;;CVCVC;70685
relés;nom;;CVCVC;70773
rinha;nom;;CVCCV;70870
roçar;ver;;CVCVC;70880
roído;adj;;CVVCV;70890
roots;nom;;CVVCC;70893
rubis;nom;;CVCVC;70904
ruivo;adj;;CVVCV;70909
rúpia;nom;;CVCVV;70912
sanja;nom;;CVCCV;70946
sesta;nom;;CVCCV;71016
shell;nom;;CCVCC;71020
shoyu;nom;;CCVVV;71024
simão;nom;;CVCVV;71032
sulco;nom;;CVCCV;71138
sweet;nom;;CCVVC;71170
tarda;adj;;CVCCV;71196
there;nom;;CCVCV;71243
togas;nom;;CVCVC;71264
torvo;adj;;CVCCV;71289
touça;nom;;CVVCV;71293
trust;nom;;CCVCC;71367
unica;adj;;VCVCV;71387
uréia;nom;;VCVVV;71397
vedar;ver;;CVCVC;71427
veraz;adj;;CVCVC;71438
viado;adj;;CVVCV;71449
viado;nom;;CVVCV;71450
voces;gram;pers;CVCVC;71491
where;nom;;CCVCV;71505
would;nom;;CVVCC;71508
xamãs;nom;;CVCVC;71511
xaxim;nom;;CVCVC;71514
xisto;nom;;CVCCV;71520
ábaco;nom;;VCVCV;72422
aedes;nom;;VVCVC;72537
afeto;adj;;VCVCV;72550
aipim;nom;;VVCVC;72592
amina;nom;;VCVCV;72679
apple;nom;;VCCCV;72783
aquel;nom;;VCVVC;72810
arfar;ver;;VCCVC;72823
arpão;nom;;VCCVV;72833
bagas;nom;;CVCVC;73017
basca;adj;;CVCCV;73054
baton;nom;;CVCVC;73064
bicão;nom;;CVCVV;73096
bigas;nom;;CVCVC;73100
bocha;nom;;CVCCV;73125
boldo;nom;;CVCCV;73131
brake;nom;;CCVCV;73144
braun;nom;;CCVVC;73152
bromo;nom;;CCVCV;73161
bulir;ver;;CVCVC;73171
celos;nom;;CVCVC;73302
checa;nom;;CCVCV;73348
chuan;nom;;CCVVC;73368
colos;nom;;CVCVC;73441
corso;adj;;CVCCV;73670
coxim;nom;;CVCVC;73685
cubas;nom;;CVCVC;73719
dação;nom;;CVCVV;73749
danis;adj;;CVCVC;73756
dedal;nom;;CVCVC;73788
deina;adj;;CVVCV;73808
domus;nom;;CVCVC;74181
expôr;ver;;VCCVC;74620
fados;nom;;CVCVC;74659
falaz;adj;;CVCVC;74664
farro;nom;;CVCCV;74675
fatum;nom;;CVCVC;74680
fatwa;nom;;CVCCV;74682
fault;nom;;CVVCC;74683
fecal;adj;;CVCVC;74689
ferry;nom;;CVCCV;74714
finta;nom;;CVCCV;74739
focar;ver;;CVCVC;74764
fofos;adj;;CVCVC;74766
fuçar;ver;;CVCVC;74820
fujão;adj;;CVCVV;74822
gneos;adj;;CCVVC;74891
gneos;nom;;CCVVC;74892
go-go;nom;;CV-CV;74894
henry;nom;;CVCCV;74966
honey;nom;;CVCVV;75012
hosts;nom;;CVCCC;75019
ilesa;adj;;VCVCV;75041
impôr;ver;;VCCVC;75068
iô-iô;nom;;VV-VV;75318
jataí;nom;;CVCVV;75342
joões;nom;;CVVVC;75354
kooks;nom;;CVVCC;75376
kraft;nom;;CCVCC;75377
krahn;nom;;CCVCC;75378
laçar;ver;;CVCVC;75388
laivo;nom;;CVVCV;75395
libré;nom;;CVCCV;75456
lixas;nom;;CVCVC;75481
mecas;nom;;CVCVC;75591
minis;adj;;CVCVC;75687
mínis;adj;;CVCVC;75688
miras;nom;;CVCVC;75693
moles;nom;;CVCVC;75719
monet;nom;;CVCVC;75721
nambu;nom;;CVCCV;75782
neura;nom;;CVVCV;75822
nobis;nom;;CVCVC;75835
noise;nom;;CVVCV;75838
órfãs;nom;;VCCVC;75930
país-;nom;;CVVC-;75969
panes;nom;;CVCVC;75989
parca;adj;;CVCCV;76006
peça-;nom;;CVCV-;76044
penar;ver;;CVCVC;76069
photo;adj;;CCVCV;76141
preás;nom;;CCVVC;76260
purês;nom;;CVCVC;76429
quite;adj;;CVVCV;76488
ragga;nom;;CVCCV;76499
raspa;nom;;CVCCV;76509
régio;adj;;CVCVV;76624
reluz;nom;;CVCVC;76659
rente;adj;;CVCCV;76674
rifas;nom;;CVCVC;76781
rinse;nom;;CVCCV;76783
rossa;nom;;CVCCV;76818
ruela;nom;;CVVCV;76826
rugir;ver;;CVCVC;76828
sacha;nom;;CVCCV;76840
sarar;ver;;CVCVC;76875
símio;nom;;CVCVV;76970
snack;nom;;CCVCC;77000
sorry;nom;;CVCCV;77042
stage;nom;;CCVCV;77050
stamp;nom;;CCVCC;77051
still;nom;;CCVCC;77052
style;nom;;CCVCV;77054
tacão;nom;;CVCVV;77142
tapes;nom;;CVCVC;77165
tella;nom;;CVCCV;77188
tição;nom;;CVCVV;77228
tinha;nom;;CVCCV;77235
tomba;nom;;CVCCV;77260
tório;nom;;CVCVV;77266
tôrno;nom;;CVCCV;77272
totum;nom;;CVCVC;77282
trapo;nom;;CCVCV;77328
trips;nom;;CCVCC;77364
twist;nom;;CCVCC;77395
unico;adj;;VCVCV;77412
vadia;adj;;CVCVV;77433
zonzo;adj;;CVCCV;77588
áerea;adj;;VVCVV;78949
afoxé;nom;;VCVCV;78973
agora;nom;;VCVCV;78997
albis;adj;;VCCVC;79039
album;nom;;VCCVC;79040
alces;nom;;VCCVC;79045
allii;adv;;VCCVV;79080
alpes;nom;;VCCVC;79094
amara;adj;;VCVCV;79126
ameba;nom;;VCVCV;79140
anciã;nom;;VCCVV;79172
apena;nom;;VCVCV;79275
avant;nom;;VCVCC;79554
baldo;adj;;CVCCV;79601
batel;nom;;CVCVC;79631
bócio;nom;;CVCVV;79716
botim;nom;;CVCVC;79741
braba;adj;;CCVCV;79747
brand;nom;;CCVCC;79750
brins;nom;;CCVCC;79767
bules;nom;;CVCVC;79779
búzio;nom;;CVCVV;79793
caeté;nom;;CVVCV;79814
caiuá;nom;;CVVVV;79819
cajus;nom;;CVCVC;79823
calço;nom;;CVCCV;79833
cânon;nom;;CVCVC;79881
cara-;nom;;CVCV-;79903
cardã;nom;;CVCCV;79918
casa-;nom;;CVCV-;79942
catre;nom;;CVCCV;79984
cerva;nom;;CVCCV;80010
checo;adj;;CCVCV;80034
china;adj;;CCVCV;80048
cidra;nom;;CVCCV;80062
clara;nom;;CCVCV;80098
coeur;nom;;CVVVC;80138
contr;nom;;CVCCC;80383
coord;nom;;CVVCC;80410
covas;adj;;CVCVC;80481
crème;nom;;CCVCV;80497
cults;adj;;CVCCC;80529
cumes;nom;;CVCVC;80536
dandy;nom;;CVCCV;80574
dante;nom;;CVCCV;80575
divãs;nom;;CVCVC;81075
doble;adj;;CVCCV;81094
dress;nom;;CCVCC;81124
drops;nom;;CCVCC;81127
drupa;nom;;CCVCV;81128
ducto;nom;;CVCCV;81132
durex;nom;;CVCVC;81137
ébano;nom;;VCVCV;81144
ébrio;adj;;VCCVV;81145
ellos;nom;;VCCVC;81190
error;nom;;VCCVC;81428
están;nom;;VCCVC;81531
figas;nom;;CVCVC;81819
finis;adj;;CVCVC;81839
floco;nom;;CCVCV;81864
folds;nom;;CVCCC;81882
forum;nom;;CVCVC;81905
fruir;ver;;CCVVC;81942
galas;nom;;CVCVC;81982
ganas;nom;;CVCVC;81989
ganês;nom;;CVCVC;81991
gatil;nom;;CVCVC;82004
gato-;nom;;CVCV-;82005
godos;nom;;CVCVC;82046
gosma;nom;;CVCCV;82051
grená;adj;;CCVCV;82081
guard;nom;;CVVCC;82094
guiné;nom;;CVVCV;82104
gumex;nom;;CVCVC;82109
hurra;gram;in;CVCCV;82199
ideas;adj;;VCVVC;82203
ideia;nom;;VCVVV;82204
idéía;nom;;VCVVV;82205
índex;nom;;VCCVC;82358
intra;gram;ec;VCCCV;82512
istmo;nom;;VCCCV;82581
jaque;nom;;CVCVV;82598
jazzy;adj;;CVCCV;82600
jipão;nom;;CVCVV;82606
jirau;nom;;CVCVV;82607
junky;nom;;CVCCV;82622
krill;nom;;CCVCC;82643
large;nom;;CVCCV;82678
lauto;adj;;CVVCV;82690
lenga;nom;;CVCCV;82716
lerdo;adj;;CVCCV;82721
liame;nom;;CVVCV;82738
libor;nom;;CVCVC;82750
limas;nom;;CVCVC;82756
lions;nom;;CVVCC;82765
litis;adj;;CVCVC;82770
lixar;ver;;CVCVC;82781
lover;nom;;CVCVC;82800
maçom;nom;;CVCVC;82822
magic;nom;;CVCVC;82836
mamão;adj;;CVCVV;82862
mangá;nom;;CVCCV;82877
maori;adj;;CVVCV;82894
má-xi;adj;;CV-CV;82932
mayor;nom;;CVVVC;82938
megas;nom;;CVCVC;82957
mimar;ver;;CVCVC;83018
mitad;nom;;CVCVC;83042
miúda;nom;;CVVCV;83046
móbil;adj;;CVCVC;83048
mocas;nom;;CVCVC;83053
monja;nom;;CVCCV;83077
munus;nom;;CVCVC;83130
nadas;nom;;CVCVC;83143
nehum;nom;;CVCVC;83191
nomen;nom;;CVCVC;83217
noves;nom;;CVCVC;83231
numes;nom;;CVCVC;83238
óbulo;nom;;VCVCV;83265
oitis;nom;;VVCVC;83284
olhaí;nom;;VCCVV;83287
pareô;nom;;CVCVV;83420
patuá;nom;;CVCVV;83453
peace;nom;;CVVCV;83464
petit;nom;;CVCVC;83602
pinot;nom;;CVCVC;83629
píton;nom;;CVCVC;83651
pitos;nom;;CVCVC;83653
poire;nom;;CVVCV;83684
poker;nom;;CVCVC;83685
pomba;gram;in;CVCCV;83705
porca;adj;;CVCCV;83719
poser;nom;;CVCVC;83731
prumo;nom;;CCVCV;83955
puedo;nom;;CVVCV;83973
pumas;nom;;CVCVC;83978
quasi;adv;;CVVCV;84002
quepe;nom;;CVVCV;84020
ralos;adj;;CVCVC;84070
refil;nom;;CVCVC;84216
renga;adj;;CVCCV;84314
reset;nom;;CVCVC;84362
rijos;adj;;CVCVC;84464
ripas;nom;;CVCVC;84470
robes;nom;;CVCVC;84477
rocio;nom;;CVCVV;84482
rolas;nom;;CVCVC;84490
rolim;nom;;CVCVC;84493
ruivo;nom;;CVVCV;84520
sabra;nom;;CVCCV;84538
safar;ver;;CVCVC;84557
sagas;nom;;CVCVC;84560
saido;adj;;CVVCV;84564
sarja;nom;;CVCCV;84606
sarro;nom;;CVCCV;84608
saude;nom;;CVVCV;84617
sedan;nom;;CVCVC;84632
selas;nom;;CVCVC;84652
selon;nom;;CVCVC;84655
sêmem;nom;;CVCVC;84656
sempe;nom;;CVCCV;84667
shear;nom;;CCVVC;84708
sigma;nom;;CVCCV;84714
silvo;nom;;CVCCV;84723
sonar;nom;;CVCVC;84806
steps;nom;;CCVCC;84829
store;nom;;CCVCV;84830
súcio;nom;;CVCVV;84862
suiça;adj;;CVVCV;84872
suíco;adj;;CVVCV;84873
tabém;nom;;CVCVC;84945
tacto;nom;;CVCCV;84954
talim;nom;;CVCVC;84968
també;nom;;CVCCV;84971
tamil;adj;;CVCVC;84972
taxol;nom;;CVCVC;84996
teams;nom;;CVVCC;84997
tenho;nom;;CVCCV;85034
tenro;adj;;CVCCV;85037
tinir;ver;;CVCVC;85085
tiro-;nom;;CVCV-;85094
todas;adv;;CVCVC;85103
today;nom;;CVCVV;85104
trela;nom;;CCVCV;85209
treta;nom;;CCVCV;85217
tulku;nom;;CVCCV;85244
using;nom;;VCVCC;85288
vamos;gram;in;CVCVC;85315
varar;ver;;CVCVC;85319
vesgo;adj;;CVCCV;85368
visom;nom;;CVCVC;85422
waifs;nom;;CVVCC;85455
xelim;nom;;CVCVC;85462
xerez;nom;;CVCVC;85464
abará;nom;;VCVCV;87543
adaga;nom;;VCVCV;87683
aftas;nom;;VCCVC;87788
after;nom;;VCCVC;87789
afuga;nom;;VCVCV;87790
ágios;nom;;VCVVC;87805
ágora;nom;;VCVCV;87816
aidna;nom;;VVCCV;87857
álamo;nom;;VCVCV;87882
algar;nom;;VCCVC;87921
alves;nom;;VCCVC;87981
among;nom;;VCVCC;88032
amour;ver;;VCVVC;88046
andré;nom;;VCCCV;88074
ânimo;gram;in;VCVCV;88097
annus;nom;;VCCVC;88105
